Pin [Pa]	ΔP local [Pa]	ΔP dist [Pa]	ΔP total [Pa]	Pout [Pa]	u [m/s]
17916.39984	2205.4912	396.1326498	2601.62385	2222.89824	1.76
17967.20992	2230.6248	400.0798571	2630.704657	2244.62751	1.77
18018.30894	2255.9008	404.0438255	2659.944625	2266.48656	1.78
18069.69687	2281.3192	408.0245313	2689.343731	2288.47539	1.79
18121.3737	2306.88	412.021951	2718.901951	2310.594	1.80
18173.3394	2332.5832	416.0360615	2748.619261	2332.84239	1.81
18225.59395	2358.4288	420.0668395	2778.49564	2355.22056	1.82
18278.13732	2384.4168	424.1142623	2808.531062	2377.72851	1.83
18330.9695	2410.5472	428.1783069	2838.725507	2400.36624	1.84
18384.09045	2436.82	432.2589508	2869.078951	2423.13375	1.85
18437.50016	2463.2352	436.3561715	2899.591372	2446.03104	1.86
18491.19861	2489.7928	440.4699466	2930.262747	2469.05811	1.87
18545.18576	2516.4928	444.6002541	2961.093054	2492.21496	1.88
18599.46161	2543.3352	448.7470717	2992.082272	2515.50159	1.89
18654.02613	2570.32	452.9103777	3023.230378	2538.918	1.90
18708.87929	2597.4472	457.0901504	3054.53735	2562.46419	1.91
18764.02108	2624.7168	461.2863681	3086.003168	2586.14016	1.92
18819.45147	2652.1288	465.4990094	3117.627809	2609.94591	1.93
18875.17044	2679.6832	469.7280529	3149.411253	2633.88144	1.94
18931.17798	2707.38	473.9734775	3181.353478	2657.94675	1.95
18987.47405	2735.2192	478.2352622	3213.454462	2682.14184	1.96
19044.05865	2763.2008	482.513386	3245.714186	2706.46671	1.97
19100.93174	2791.3248	486.8078281	3278.132628	2730.92136	1.98
19158.09331	2819.5912	491.118568	3310.709768	2755.50579	1.99
19215.54334	2848	495.445585	3343.445585	2780.22	2.00
19273.2818	2876.5512	499.7888589	3376.340059	2805.06399	2.01
19331.30868	2905.2448	504.1483694	3409.393169	2830.03776	2.02
19389.62396	2934.0808	508.5240963	3442.604896	2855.14131	2.03
19448.22761	2963.0592	512.9160196	3475.97522	2880.37464	2.04
19507.11962	2992.18	517.3241194	3509.504119	2905.73775	2.05
19566.29997	3021.4432	521.748376	3543.191576	2931.23064	2.06
19625.76863	3050.8488	526.1887698	3577.03757	2956.85331	2.07
19685.52559	3080.3968	530.6452811	3611.042081	2982.60576	2.08
19745.57083	3110.0872	535.1178906	3645.205091	3008.48799	2.09
19805.90433	3139.92	539.6065791	3679.526579	3034.5	2.10
